时间,字数,内容
2024-03-01 21:54:53,275,"2024-03-01
v记2:1非v记
v记多打一人，张梁和淡总有伤，不过优势比较明显。球霸祥子领衔非v记打出精彩反击。开场老段戏耍熊熊踩钢丝空翻表演，来点想象。
v记前两节都是3:0，第一局由淡总接eric传中头球后蹭顶入死角；eric 头球砸入球门，茂盛中场远射挂左上角得分！老司机第二局帽子戏法说明退休心情极好午睡很闲适，值得发个红包🧧 席总“熊出没”破解淡总单刀空门进球
第三节 马岩、叫兽、席总三大铁闸，防守严密！林文无解头球破门，球霸祥子发威2:1反超比分
第四节老司机助攻淡总进球 艾总抽射破门 祥子精彩兜射破门 均进入局点可惜没分胜负"
2024-03-08 21:41:34,483," 2024-3-8
欢庆女神节，江涛和光哥复出，国安去年底报名终于走到球场；天气风轻云淡，适合踢球。v记2:1非v记，刚看比分，不看分组，很难想象比赛过程
第一小局v记利用祥子和国安迟到没来的缝隙，由老司机，茂盛和eric连下三城，拿下比赛，其中老司机爬活进球，茂盛一脚似传似射的世界波直挂死角；Eric头球拦截半鱼跃骗过光哥进球.
第二小局一开始泰国队主力祥子国安到场，非v记形成极具压倒性的控球率，席老师传给苏队，分给国安一顿带吸引防守，再给祥子一顿带吸引防守，再给老段，回做马岩，长传球霸，回做江涛，感觉无数个点在接应；v记只能保留eric和骞哥打防守反击，基本出球很艰难。祥子一上场就接老段一个神来漏球，门前一米将球打进，球霸也进一个。v记靠老司机爬活和eric打入扳回颜面的两球；最后是国安一个貌似手球嫌疑的传球给祥子结束第二节。
第三小局，v记更是被动，基本只能靠门将和rocky长传打给eric组织反击，大多数都被席老师和马岩截胡。国安和祥子又早早打入两球；v记靠eric头球和茂盛反抢苏队失误横穿骞哥的进球和非v记打成2:2，最后由黄队补射赢下比赛！"
2024-04-12 21:23:19,214,黄队 vs 淡总 挑人 黄队深得老司机真传 淡总伤愈复出 打了多半场门将 10:10 只踢了一局2:3 两队势均力敌 黄队稍有控球优势 无奈没有得分手  靠艾总接茂盛角球大禁区远射得分 接着茂盛接苏队倒三角打近角破门 早早来到局点。 接下来是eric发挥时刻， 趁着rocky和路导对车的时候，连过数人推射得分，然后又直塞老崔得分，打成2:2； 黄队队员一堆门前机会都没有打进，eric又神勇发挥打入单刀球3:2 淡总队胜[强]
2024-05-05 21:42:36,333,老司机继续约占黄队，总比分2:1. 三个没报名的只有祥子最不靠谱，路导和茂盛被老司机挑走了[偷笑] 场面上基本是老司机队略占优势。陶总一上来就膝盖磕到了老唐，伤退了[捂脸]  黄队今天发挥神勇，先是防守角球做给对手老席，老席顺势一脚得分；黄队第二局似传似射的一个大脚挂左上角破门得分，这球都怪马老板，直接再喊放了放了，结果调了茂盛一球；接着黄队又是右路传中，kb一晃碰到了马老板的小腿乌龙一个； 黄队接着又一个右脚一扣，左脚传中，居然正好被泰国队中场国安头球顶进左上角！ 黄队全场最佳得发个红包庆祝下！ 今天茂盛守门运气太差，还被熊熊一个细腻的乌龙左下角戏弄[捂脸]  老段爬活儿进两，老司机、林文、马老板都有进球… 球霸老司机今天好几个单刀都打飞了，很fw[偷笑]
2024-05-10 22:17:39,394,"2024-5-10
v记非v记 大比分2:1；黄队不在没人敢挑战老司机，有点高处不胜寒的感脚。
热身阶段非v记很快进入状态，v记更喜欢正式算分比赛，第一局由Eric抢断后横切推入右下角，茂盛远射得分，淡总远射直挂左上角，砍瓜切菜般3:0
第二局由骞哥抽射张梁捡漏得一分，然后非v记由苏队路导球霸一系列精妙配合，苏队推出一记反角得分，席老师一记似传非设的吊门，robert没有守住，接着路导当人不让打入终结第二局的精彩进球！3:1
第三局本周末最佳进球来了，江老师小碎步油炸丸子拉球假动作晃过了各个后卫从右边路切底线带球到离门一米抽射进球；马岩打入一粒精彩远射。v记积极拼抢，茂盛偷了老陶一个远射，抓住老崔回传失误打入一球，接着又传中eric结果变成吊门懵了踢球3:2 赢得第三局
苏队今天很兴奋 场地湿滑 非常适合发挥 赛后在出体育场的跑道上被各大球星围绕着 点评自己的失误和进球[偷笑]"
2024-05-17 22:05:19,287,今天老司机挑人0:1惜败黄队，主要原因是淡总苏队早退。老司机队开场由淡总老席江涛牢牢控制中场节奏，祥子抓住一次老司机队的失误妙传茂盛打入第一球；接着江涛又开始自己的表演前场拿球闪转腾挪，横切打远门柱弹入球网；苏队今天发挥神勇，有一个中场练过六人的盘带，犹如齐达内附体，并且在大禁区处半高球凌空抽射得分，本周最佳球员，（可以有红包）小分 2:1，老司机队还在沾沾自喜的时候，茂盛中场开球传给祥子，祥子直塞茂盛，躲过了席老师的防守，单刀推左下角得分2:2，接着祥子发挥神勇一番突破单刀赴会，3:2结束第一局，也是唯一分出胜负的一局！ 第二局祥子老司机各打入一球，小比分1:1. 
2024-05-31 22:17:50,246,今天v记非v记pk，v记4:1大胜！老司机重现爬活绝技 靠着eric淡总祥子的神助攻大四喜值得红包祝贺；eric发挥神勇帽子戏法，尤其是最后5分钟的决胜球远射破门，红包拿来！黄队也发挥神勇，尤其是和茂盛的一个换位跑动，直接单刀头球攻破老席的大门， 罗总偷学老司机爬活技巧，打入两球，对非v记翻盘起来决定性作用，也打破自己的进球荒。 今天v记赢球主要靠淡总连续扑出球吧江涛的必进球，直接摧毁对手射门信心[呲牙] 其他队员陶总，金搏，茂盛，robert，祥子都有进球，天气夏高气爽，可以欢度周末啦
2024-06-21 22:20:16,206,“鸡贼”熊算计老“唐”僧 3:1 完胜，骞哥老司机大四喜延续射手榜首位，江涛bug大四喜加连过数人单刀进门，需要双红包弥补路导受伤的心灵，祥子没有老板羁绊却加持了老板的支持，持续上周最好状态大四喜反超eric总位居第二，eric和茂盛各进一球，今天天气凉爽也是一场酣畅淋漓的比赛，路导最近和“女同学”一起看球有点多，数次跪倒让出球权，今天没发挥出大腿的优势[偷笑] 球霸的迟到总比不来好也给老唐队带来信心[呲牙]
2024-06-28 23:49:25,265,今天老司机左右互搏分人 v记非v记 老司机给v记专门要了马老板盯祥子[呲牙] v记技高一筹大比分3:1拿下比赛  球霸发挥神勇各种神仙球帽子戏法（此处有红包） 祥子延续神勇打入两球，老司机当仁不让也进两球，排行榜首位；尤其有一球，苏队左后卫过茂盛拌蒜，被反抢后传中，老司机不停球，直挂死角！艾总今日最佳，打入两粒精彩入球，并且无私助攻老司机空门得分.（此处有红包） 江涛 陶总连续有进球，张梁一传一射，马老凌空抽射打入精彩进球，茂盛门前捡漏进俩，淡总 eric都有进球。祝崔哥早日康复❤️‍🩹 还是得打带刀后卫，门将太无聊[呲牙]
2024-07-12 21:54:37,241,继承v记足球队传统，风雨无阻，除了祥子艾总放鸽子🐦外，温度适宜，黄队vs老司机2:1赢得胜利 ✌️ 今儿球霸是金子终要闪光发挥神勇获得五连冠，砍瓜切菜加着黄队远射赢下两局，射手榜跻身前三名[强]（此处有红包） 淡总终于伤病恢复，两个头球加骞哥横传助攻完成今年首个帽子戏法，可喜可贺。鲲哥带刀后卫凌空抽射打入可以吹半年的进球；老崔跑动积极几个精彩抢断，并且有一粒和淡总配合的进球；教授失误把球踢给老陶，大脚趾头捅入球门。 今天张梁茂盛黄油手，加起来乌龙帽子戏法，简直不要太湿滑[偷笑]
2024-07-26 21:58:06,247,老司机2:1黄队，泰国按摩队vs伊朗轰炸机队。全靠路导鸽子和国安空降🪂，今天天气持续炎热，需要持续补水💦 黄队状态神勇，以身作则，抽射，头球，背停球完成帽子戏法；国安和淡总短传渗透，相互喂饼助攻好友完成帽子戏法；其实今天踢疯了的是艾总，前场抢断淡总，临空抽射，擦立柱进球，外加后场断球一条龙抽射上角得分，另外一个踢疯了的是老崔，远射门柱，加爆射球霸爽的很！ 老司机球霸茂盛也有顺风进球，张梁顶进一粒漂亮头球。 今天淡总球霸黄油手下蛋被穿裆进球… 巴特斯附体[呲牙] （帽子戏法同学要发红包啊🧧）
2024-08-02 21:35:57,319,老司机对决黄队又给下套了，Eric总淡总祥子苏队马总都被老司机挑走，黄队赌大舅哥一人拿下比赛。 可惜大舅哥姗姗来迟，比赛迟迟不能正式开始，黄队只能摆大巴，林文单箭头，其他人积极防守。 大舅哥一来就以一个底线横穿给robert推空门得分，金搏开始膨胀了，没有看住老司机，被老司机猫着偷了两粒进球，接着罗总被祥子抢断打入第三球，老司机队拿下第一局。黄队今天非常团结，虽然有点劣势，但是防反很坚决，林文单箭头接球会做，老崔敲给大舅哥，抽射入网；茂盛中路突破，林文拉边撤出空档，茂盛推射远角得分；接着林文接茂盛45度斜传，凌空推射入网，搬回一局！ 最后剩10分钟，林文单刀推射得分，赢得决胜球，今天最佳球员非林文莫属，以后大前锋位置稳住了[呲牙]
2024-08-30 21:55:36,238,黄队没来老司机有点失魂落魄，最怕的是没有对手，把抽签的重任托付给路导vs茂盛. 两位都没有摇过人，路导赢球心切偏重防守端人才，茂盛选的偏重过程躺平配合派，其实没啥卵用，主要是茂盛赌对了国安能来[偷笑] 秦皇岛三叉戟把球霸换成祥子威力丝毫不减，都成功帽子戏法，连续拿下三局，打晕苏队路导球霸组合[呲牙] （祥子江涛国安此处得发红包）最后一局球霸马总苏队打入精彩进球，尤其球霸低平球远射祥子黄油脚踩球没踩着钻了小门[偷笑] 最终结果3:1！老陶今天表现不错，一个进球4个助攻[强]
2024-09-06 22:18:31,284,老司机左右互搏矛盾之争2:2打成平手把自己留在防守强队的正印前锋帽子戏法重新登顶射手榜首位🥇 （此处有红包）江涛凌波微步禁区突破之王，右路加速启动骗过rocky大哥的防守打左上角进球，打入两球；淡总今天左脚凌空抽射皮球弹回后又一个卧射平抽晃倒了众人，也晃倒了自己[偷笑]，有假球嫌疑！ 苏队临结束时中场一脚不经意的撩射居然直挂死角，过年吃了顿饺子。 金搏捡漏进两，老陶也有俩粒入帐，其中一球陶一脚远射苏队一猫腰陷害球霸没任何反应。 茂盛接淡总两次前场抢断助攻打入两球，今球霸接江老师助攻攻入一球。kb今天有个临门1米居然没踢到[偷笑]今儿人员混乱只记得这么多了[捂脸]
2024-09-13 22:06:42,563,"比赛

v记vs Cisco
淡总约的比赛排的阵容分三节v记两队轮换轰炸Cisco 第一小节rocky坐镇后腰，祥子球霸双前锋，老席马总教授后卫线整齐划一，总体能攻善守，基本控制比赛节奏，对方几乎没有射门机会，一开场江涛就有一个单刀偏门柱擦出，我们有好几次射门，球霸、苏队都有临空高射炮，门前祥子江涛球霸轮番射门可惜没得分，第一节后半场，茂盛有路横传祥子，江涛边路神跑位吸引对方后卫龟缩禁区，祥子横传球霸，球霸拉弓搭箭推近角得分1:0！
第二节v记几乎换了真个阵容，除了博阳！开场十几分钟黄队金搏伤退，迎来博阳的表现时刻！扑出了对手一个势大力沉的点球，一个吊射，一个角球！ 把比分定格在1:0！ 国安穿着nike慢跑鞋从南五环“马拉松”到了球场，和骞哥有若干配合，老司机有两次有危险的射门，大多数时候v记在顽强防守，林文老陶艾总老崔张梁鲲哥高接抵挡，破解了对手数次进攻！第三节，渤海湾三叉戟同时在场，淡总苏队郭兴中路组织，前10分钟踢的风生水起，淡总中圈精彩断球，直传祥子，轻松晃过门将，推空门得分；祥子还不过瘾，3分钟后自己左路练过两人，推射得分，3:0！ 接下来的时间，我们换人有点随意，自乱了阵脚，被对方压着踢了10几分钟，比赛结束。 在路导缺席eric总有伤的情况下，我们每个人都有拼劲儿，是一场完美的比赛，可喜可贺！"
2024-10-07 19:38:46,266,今天祥子拒绝黄队建议和马总分队，导致马总记错时间6点才来看着熊熊苏队满意的笑容掉头就走[偷笑] 黄队由于马总缺席，老司机赌对国安能来，老司机队略微占优些，总比分2:1！ 开场苏队各种直塞，黄队频频套边，很有危险，不过被球霸老司机老崔砍瓜切菜各下一城1:0， 老崔第二节踢疯了，门前守株待兔，远射破门，帽子戏法，球霸一个直挂死角的远射全场最佳进球！ 最后一节是黄队表演时刻，祥子江涛苏队前场频频盘带发起进攻，由艾总江涛祥子扳回一局！ 本周最佳其实是kb，今天用身体各种部位挡住了老崔淡总球霸老司机的各个单刀，城门不失，牛逼class！
2024-11-08 22:57:43,265,老司机要报上周一剑之仇 今天认真挑人 有路导朋友和江涛两把利剑 本来是稳操胜券 不料祥子突然空降 加入黄队充当了胜利天平⚖️的砝码  第一局3:0 eric总门将失误在茂盛骞哥围抢之下由骞哥助攻江涛破门，接着茂盛中路分球给老崔，不停球传中，骞哥打入远角，有如教科书般的进球；随后eric试图过掉老席，射进空门！ 第二局，老司机队体力不支，虽然江涛开场很快打入一粒直挂死角的精彩进球，但是苏队 膝盖不适，路导腰也扭不动了，在后场被祥子连续抢断攻入两球，淡总角球抢远点推射得分，扳回一局！ 祥子最佳球员 稳坐头把交椅，必须得发个红包🧧
2024-11-15 21:12:08,283,欢迎球霸回归 黄队本周挑到大排面（rocky江涛老席苏队球霸强力中前场）老司机队只能防守反击，第一局黄队砍瓜切菜，由球霸江涛很快攻入三球，拿下一局，其中有一球黄队右路传中我艹，球霸头球破门相当精彩！ 第二局两队早早打成2:2，黄队还是有球霸江涛各入一球，老司机队是马总大禁区远射破门，接着淡总接茂盛中路分球，右路一扣，左脚兜射破门，相当精彩！接下来是异常激励的抢三局，30分钟两队互有攻守，都没有破门，最后由老崔左路斜传，祥子凌空抽射破门，老司机队扳回一局， 最后10分钟老司机接祥子妙传打入一球，今日最佳是江涛，帽子戏法几户靠自己一人拿下一局， 红包🧧拿来[偷笑]
2024-11-29 22:20:11,700,"v记 大战 飞利浦西门子联队 3:0 获胜
门神博阳约的比赛. 球霸和rocky大哥安排阵容，分三小节：v记安排是第一小节攻一攻，第二小节守一守，第三小节攻受平衡一点点，对手踢的干净利落，有两三位年轻球员，速度快，盘带好，获得十来个角球，射门次数也比较多，可惜都被我方铁卫封堵，艾总鲲哥小熊张梁黄队拼抢积极，尤其是林文的中卫踢的可圈可点，头球、脚下都控制的非常好，绝对大场面球员！ 博阳门神封堵了对方数次射门，化解各种危险，力保城门不失。 第一节淡总和郭兴坐镇后腰，中路控场拼积极，后防马总，老席，rocky，教授经验丰富，第一个进球就是淡总和祥子前场逼抢导致对手后卫失误，由茂盛传给禁区中路的球霸，球霸横着一拨，临空落叶球打入远角，1:0！第二节，苏队，老陶有两脚远射，射门次数追平第一节，总体防守为主，罗总，骞哥，张梁几位大叔在小朋友面前也打出了两次精彩配合！ 第三节攻守平衡，大场面球员左后卫老崔，后半场长传找祥子，LX抢在后卫之前，停球推射得分，一号战术打成，2:0！在中场时候，大家商量门将站位靠前，一定要进个远射，终于找到机会，球霸茂盛积极拼抢交给苏队，苏队妙传江涛，江涛扣过中卫，拔脚怒射吊门，一道弧线，精准绕过门将破门3:0！随后黄队换下茂盛，和苏队有几次精彩配合。今天还要表扬下马总，400米速度匀速跑满两小节，一会助攻到对方底线，转眼间就回到我放禁区抢断成功，感觉我们多打一人. 老席一如即往的稳定，好几次故意漏了破绽忽悠对手射门，成功封堵:) 郭兴横扫中路，是一道对手难过的屏障！最赞eric总，专业裁判，一点也不偏心，轻松加愉快控场. 遗憾路导国安缺席比赛，要不踢得更加精彩！"
2024-12-20 21:27:53,491,老司机父子上阵大战黄队2:1艰难取胜[强] 天气寒冷 热身近40分钟等核心祥子到来开始正式比赛 第一小节茂盛和eric担当GK，老司机队苏队老席中场调度，通过左边老小苏配合进攻大的风生水起，利用eric失误球霸先进一球，小苏同学突入进球一脚冷射替老司机队梅开二度，接着老陶角球打在黄队身上直接得分3:0拿下一局，这一局最佳球员是老唐右后卫几次协调的拉边出球和精彩的抢断，化解了祥子江涛的进攻。 第二节eric总果断调整战术，让熊熊守门，自己打个突前中锋，一下子江涛祥子郭兴eric碾压了苏队林文老席的后场倒脚出球，10分钟内砍瓜切菜连续进了四球，祥子黄队江涛都有收获，轻松拿下第二节，把球霸惹急了，直发牢骚，唐总的优势进攻点也被批评的无法出球了，这时候茂盛调整了阵型，和老席调换门将位置，稍有起色就被郭兴的进球打成2:0，老司机急了，本年度最精彩的角球来了，老司机戏耍熊弧线球直接吊门成功🏆1:2，接着茂盛远射打入扳平一球；邻近结束 黄队压着老司机队狂轰乱炸，苏队解围头球蹭到茂盛脚下，茂盛横传老司机推入空门3:2拿下第三局！ （老司机父子帽子戏法加最佳角球得发两个红包🧧[呲牙]）
2025-01-03 22:11:09,335,2025年第一场报名25人 黄队老司机挑战大场比赛 老司机主打挑选最能跑型球员 马岩junior苏老崔老谢rocky祥子kb林文robert林文茂盛 开场热身赛小王子kb有一记大禁区外临空抽射吊门入网神仙球值得🧧一枚 新年头彩[偷笑][强] 黄队基本控制了比赛 好几次像曼城一样压到半场攻防 老司机队高接抵挡化解险情 精彩时刻 球霸身体生抗林文 12码推射得分 1:0 随后老司机队有挡住几波进攻 茂盛守门太冷换下老司机打前锋 接老崔妙传 传给中路老谢 分给禁区内祥子 推射得分 1:1 接下来两队互有攻守 精彩时刻 老司机在三人夹抢的情况下传中 茂盛门前半米抢点进球 2:1！ 今天的活动给rocky大哥和唐总充分热身了下 祝两位大哥西班牙足球友谊赛开心快乐 🎊[强]
2025-03-07 22:41:51,298,今天茂盛补缺老司机和黄队挑人，一上来黄队客气的让茂盛先挑，还没高兴半秒钟，黄队说后挑选两人[捂脸] 总共三局 黄队2:1胜 第一局魔幻开局球霸 江涛 路导 阿兴 配合娴熟，开局由kb远射和老段抢点进两，早早拿到局点； 随后苏队横向盘带，打对角得分，黄队抢点停大破门，扳平比分！ 随后黄队传中，马总强点破门，拿下第一局；在此之前，球霸和阿兴都有两个特有威胁的攻门，可惜没进，痛失好局！第二局，茂盛上去踢右边前，由球霸、江涛、茂盛扳回一局！ 第三局，茂盛队基本没体力，黄队砍瓜切菜15分钟内搞定三球，最值一提是罗总远射得分，祥子打入一球，黄队抽射破门打入第三球结束比赛！ 精彩镜头请看4k高清[偷笑]
2025-03-28 23:04:08,309,今天老司机黄队挑人，黄队挑速度型祥子马岩江涛球霸苏队robert鲲哥罗总金搏kb；老司机选控球型席总rocky茂盛淡总大林段哥张梁郭兴老崔陶总。开场热身赛，海南旅归队员特兴奋，老司机队进了5粒热身球[偷笑] 随后正式开始，罗总吃江涛做饼，轻松推射得分，然后球霸打入第二球；老司机前场连续判断对鲲哥门将出球，门线打入单刀，淡总进第二球扳平比分；关键时刻黄队挺身而出，一记假设真扣，晃过后卫，抽射破门，本场最佳进球！ 下半场，互有攻守，首先祥子角球，砸到黄队眼镜破门，1:0，随后茂盛妙传老司机，老司机妙传茂盛反超2:1，球霸中场左右腾挪，打门住扳平比分，比赛结束！今天4k小视频腿瘸了 大家脑补下黄队那两个进球吧[偷笑]
